"MetaCyc"	meta
"Methylomarinum vadi"	gcf_000733935
"Methylomicrobium album BG8"	gcf_000214275
"Methylomicrobium alcaliphilum 20Z"	malc1091494
"Methylomicrobium buryatense 5G"	gcf_000341735
"Methylomonas methanica MC09"	mmet857087
"Methylophaga aminisulfidivorans MP"	gcf_000214595
"Methylophaga frappieri"	mfra754477
"Methylophaga lonarensis MPL"	mlon1286106
"Methylophaga nitratireducenticrescens"	mnit754476
"Methylophaga thiooxydans"	gcf_000767155
"Methylophilus methylotrophus DSM 46235 = ATCC 53528"	gcf_000378225
"Methylosarcina fibrata AML-C10"	gcf_000372865
"Methylosarcina lacus LW14"	gcf_000527095
"Methylosinus trichosporium OB3b"	mob3b
"Methylotenera mobilis JLW8"	mmob583345
"Methylotenera versatilis 301"	mver666681
"Methyloversatilis universalis Fam500"	gcf_000478565
"Methylovorus glucosetrophus SIP3-4"	mglu582744
"Methylovorus sp. MP688"	msp887061
"Methylovulum miyakonense HT12"	gcf_000384075
"Micavibrio aeruginosavorus ARL-13"	maer856793
"Micavibrio aeruginosavorus EPB"	maer349215
"Microbacterium barkeri 2011-R4"	gcf_000299315
"Microbacterium gubbeenense DSM 15944"	gcf_000422745
"Microbacterium indicum DSM 19969"	gcf_000422385
"Microbacterium laevaniformans OR221"	mlae1160710
"Microbacterium luticocti DSM 19459"	gcf_000422405
"Microbacterium maritypicum MF109"	gcf_000455825
"Microbacterium paraoxydans 77MFTsu3.2"	gcf_000380465
"Microbacterium paraoxydans DH1b"	gcf_000633215
"Microbacterium profundi"	gcf_000763375
"Microbacterium testaceum StLB037"	mtes979556
"Microbacterium yannicii PS01"	gcf_000304335
"Microbispora rosea nonnitritogenes"	gcf_000718475
"Microbulbifer agarilyticus S89"	gcf_000220505
"Microbulbifer variabilis ATCC 700307"	gcf_000380565
"Micrococcus luteus NCTC 2665"	mlut465515
"Micrococcus luteus SK58"	mlut596312-hmp
"Microcoleus sp. PCC 7113"	msp1173027
"Microcoleus vaginatus FGP-2"	mvag756067
"Microcystis aeruginosa NIES-843"	maer449447
"Microcystis aeruginosa PCC 7941"	maer213618
"Microcystis aeruginosa PCC 9432"	maer1160280
"Microcystis aeruginosa PCC 9443"	maer1160281
"Microcystis aeruginosa PCC 9809"	maer1160285
"Microlunatus phosphovorus NM-1"	mpho1032480
"Micromonospora aurantiaca ATCC 27029"	maur644283
"Micromonospora lupini Lupac 08"	mlup1150864
"Micromonospora sp. L5"	msp648999
"Microscilla marina ATCC 23134"	mmar313606
"Microvirga flocculans ATCC BAA-817"	gcf_000518665
"Microvirga lotononidis"	gcf_000262405
"Microvirgula aerodenitrificans DSM 15089"	gcf_000620105
"Mitsuokella multacida DSM 20544"	mmul500635-hmp
"Mobilicoccus pelagius NBRC 104925"	gcf_000247995
"Mobiluncus curtisii ATCC 43063"	mcur548479-hmp
"Mobiluncus curtisii ATCC 51333"	mcur887326-hmp
"Mobiluncus curtisii curtisii ATCC 35241"	mcur585198-hmp
"Mobiluncus curtisii holmesii ATCC 35242"	mcur887899-hmp
"Mobiluncus mulieris 28-1"	mmul596328-hmp
"Mobiluncus mulieris ATCC 35239"	mmul871571-hmp
"Mobiluncus mulieris ATCC 35243"	mmul585199-hmp
"Mobiluncus mulieris FB024-16"	mmul866770-hmp
"Modestobacter marinus"	mmar477641
"Mogibacterium sp. CM50"	msp936375
"Moorea producens 3L"	gcf_000211815
"Moorella thermoacetica ATCC 39073"	mthe264732
"Moraxella boevrei DSM 14165"	gcf_000379845
"Moraxella bovoculi"	gcf_000988745
"Moraxella bovoculi"	gcf_000988725
"Moraxella bovoculi"	gcf_000988705
"Moraxella bovoculi"	gcf_000988685
"Moraxella bovoculi"	gcf_000988655
"Moraxella bovoculi"	gcf_000988615
"Moraxella bovoculi"	gcf_000988605
"Moraxella bovoculi 237"	gcf_000696305
"Moraxella caprae DSM 19149"	gcf_000426885
"Moraxella catarrhalis BC8"	mcat857574
"Moraxella catarrhalis O35E"	mcat857571
"Moraxella catarrhalis RH4"	mcat749219
"Moraxella macacae 0408225"	gcf_000320365
"Morganella morganii morganii KT"	mmor1124991
"Moritella dasanensis ArB 0140"	gcf_000276805
"Moritella marina ATCC 15381"	gcf_000381865
"Moritella viscosa"	gcf_000953735
"Mucilaginibacter paludis DSM 18603"	gcf_000166195
"Mucinivorans hirudinis"	gcf_000723505
"Mucispirillum schaedleri ASF457"	gcf_000487995
"Muricauda lutaonensis"	gcf_000963865
"Muricauda ruestringensis DSM 13258"	mrue886377
"Mus musculus"	mouse
"Mycetocola saprophilus"	gcf_000718085
"Mycobacterium abscessus"	mabs36809
"Mycobacterium abscessus 4S-0206"	mabs1001723
"Mycobacterium abscessus 5S-0304"	mabs1001728
"Mycobacterium abscessus bolletii 1S-151-0930"	mmas1001704
"Mycobacterium abscessus bolletii 1S-153-0915"	mmas1001706
"Mycobacterium abscessus bolletii 1S-154-0310"	mmas1001707
"Mycobacterium abscessus bolletii 50594"	mabs1303024
"Mycobacterium abscessus bolletii GO 06"	mabs1198627
"Mycobacterium abscessus M94"	mabs1158135
"Mycobacterium africanum GM041182"	mafr572418
"Mycobacterium aromaticivorans JS19b1 = JCM 16368"	gcf_000559085
"Mycobacterium asiaticum DSM 44297"	gcf_000613245
"Mycobacterium avium 104"	mavi243243
"Mycobacterium avium paratuberculosis K-10"	mavi262316
"Mycobacterium avium paratuberculosis MAP4"	mavi1199187
"Mycobacterium avium paratuberculosis S5"	mavi1247747
"Mycobacterium bovis AF2122/97"	mbov233413
"Mycobacterium bovis BCG str. Korea 1168P"	mbov1206780
"Mycobacterium bovis BCG str. Mexico"	mbov717522
"Mycobacterium bovis BCG str. Pasteur 1173P2"	mbov410289
"Mycobacterium bovis BCG str. Tokyo 172"	mbov561275
"Mycobacterium canettii CIPT 140010059"	mcan1048245
"Mycobacterium canettii CIPT 140060008"	mcan1205676
"Mycobacterium canettii CIPT 140070008"	mcan1205675
"Mycobacterium canettii CIPT 140070010"	mcan1205674
"Mycobacterium canettii CIPT 140070017"	mcan1205677
"Mycobacterium chubuense NBB4"	mchu710421
"Mycobacterium colombiense"	mcol
"Mycobacterium cosmeticum"	gcf_000613185
"Mycobacterium gilvum PYR-GCK"	mgil350054
"Mycobacterium gilvum Spyr1"	mgil278137
"Mycobacterium hassiacum DSM 44199"	mhas1122247
"Mycobacterium indicus pranii MTCC 9506"	mind1232724
"Mycobacterium intracellulare ATCC 13950"	mint487521
"Mycobacterium intracellulare MOTT-02"	mint1138382
"Mycobacterium intracellulare MOTT-64"	mint1138383
"Mycobacterium iranicum UM_TJL"	gcf_000455165
"Mycobacterium kansasii ATCC 12478"	mkan557599
"Mycobacterium kyorinense"	gcf_000759695
"Mycobacterium leprae Br4923"	mlep561304
"Mycobacterium leprae TN"	mlep272631
"Mycobacterium liflandii 128FXT"	mlif459424
"Mycobacterium mageritense DSM 44476"	gcf_000612825
"Mycobacterium marinum M"	mmar216594
"Mycobacterium neoaurum VKM Ac-1815D"	mneo700508
"Mycobacterium parascrofulaceum ATCC BAA-614"	mpar525368-hmp
"Mycobacterium phlei RIVM601174"	gcf_000257725
"Mycobacterium rhodesiae NBB3"	mrho710685
"Mycobacterium rufum"	gcf_000762985
"Mycobacterium septicum DSM 44393"	gcf_000455325
"Mycobacterium simiae ATCC 25275 = DSM 44165"	gcf_000455305
"Mycobacterium sinense"	msp875328
"Mycobacterium smegmatis JS623"	msme710686
"Mycobacterium smegmatis MC2 155"	msme246196
"Mycobacterium sp. JLS"	msp164757
"Mycobacterium sp. KMS"	msp189918
"Mycobacterium sp. MCS"	msp164756
"Mycobacterium sp. MOTT36Y"	msp1168287
"Mycobacterium sp. VKM Ac-1817D"	gcf_000416365
"Mycobacterium thermoresistibile ATCC 19527"	gcf_000234585
"Mycobacterium triplex"	gcf_000689255
"Mycobacterium tuberculosis 02_1987"	mtub515616
"Mycobacterium tuberculosis 7199-99"	mtub1138877
"Mycobacterium tuberculosis Beijing/NITR203"	mtub1306400
"Mycobacterium tuberculosis CAS/NITR204"	mtub1310114
"Mycobacterium tuberculosis CCDC5079"	mtub443149
"Mycobacterium tuberculosis CCDC5180"	mtub443150
"Mycobacterium tuberculosis CDC1551"	mtbcdc1551
"Mycobacterium tuberculosis CTRI-2"	mtub707235
"Mycobacterium tuberculosis EAI5"	mtub1306414
"Mycobacterium tuberculosis EAI5/NITR206"	mtub1310115
"Mycobacterium tuberculosis Erdman = ATCC 35801"	mtub652616
"Mycobacterium tuberculosis F11"	mtub336982
"Mycobacterium tuberculosis GM 1503"	mtub537209
"Mycobacterium tuberculosis H37Ra"	mtub419947
"Mycobacterium tuberculosis Haarlem"	mtub395095
"Mycobacterium tuberculosis Haarlem/NITR202"	mtub1304279
"Mycobacterium tuberculosis KZN 1435"	mtub478434
"Mycobacterium tuberculosis KZN 4207"	mtub478433
"Mycobacterium tuberculosis KZN 605"	mtub478435
"Mycobacterium tuberculosis KZN R506"	mtub663886
"Mycobacterium tuberculosis RGTB327"	mtub1091500
"Mycobacterium tuberculosis RGTB423"	mtub1091501
"Mycobacterium tuberculosis SUMu008"	mtub675519
"Mycobacterium tuberculosis SUMu010"	mtub675521
"Mycobacterium tuberculosis SUMu012"	mtub675523
"Mycobacterium tusciae JS617"	gcf_000243415
"Mycobacterium ulcerans Agy99"	mulc362242
"Mycobacterium vaccae ATCC 25954"	gcf_000295825
"Mycobacterium vanbaalenii PYR-1"	mvan350058
"Mycobacterium vulneris"	gcf_000612885
"Mycobacterium xenopi RIVM700367"	gcf_000257745
"Mycobacterium yongonense 05-1390"	myon1138871
"Mycoplasma agalactiae"	maga2110
"Mycoplasma agalactiae PG2"	maga347257
"Mycoplasma alkalescens 14918"	gcf_000367445
"Mycoplasma alligatoris A21JP2"	gcf_000178375
"Mycoplasma alvi ATCC 29626"	gcf_000701785
"Mycoplasma anatis 1340"	gcf_000221305
"Mycoplasma anseris ATCC 49234"	gcf_000702805
"Mycoplasma arginini 7264"	gcf_000367785
"Mycoplasma arthritidis 158L3-1"	mart243272
"Mycoplasma auris 15026"	gcf_000367765
"Mycoplasma bovigenitalium 51080"	gcf_000367805
"Mycoplasma bovis HB0801"	mbov767465
"Mycoplasma bovis Hubei-1"	mbov956483
"Mycoplasma bovis PG45"	mbov289397
"Mycoplasma bovoculi M165/69"	gcf_000524555
"Mycoplasma buteonis"	gcf_000733865
"Mycoplasma californicum"	gcf_000695835
"Mycoplasma californicum HAZ160_1"	gcf_000829335
"Mycoplasma canadense"	gcf_000828855
"Mycoplasma canis"	gcf_000988065
"Mycoplasma canis PG 14"	gcf_000258925
"Mycoplasma capricolum capricolum ATCC 27343"	mcap340047
"Mycoplasma cloacale ATCC 35276"	gcf_000702745
"Mycoplasma collis ATCC 35278"	gcf_000701825
"Mycoplasma columbinum ATCC 29257"	gcf_000712175
"Mycoplasma columbinum SF7"	mcol1037410
"Mycoplasma columborale ATCC 29258"	gcf_000701845
"Mycoplasma conjunctivae HRC/581"	mcon572263
"Mycoplasma cricetuli ATCC 35279"	gcf_000526955
"Mycoplasma crocodyli MP145"	mcro512564
"Mycoplasma cynos C142"	mcyn1246955
"Mycoplasma dispar"	gcf_000941075
"Mycoplasma elephantis ATCC 51980"	gcf_000687815
"Mycoplasma felifaucium ATCC 43428"	gcf_000687775
"Mycoplasma felis ATCC 23391"	gcf_000701865
"Mycoplasma fermentans JER"	mfer637387
"Mycoplasma fermentans M64"	mfer943945
"Mycoplasma flocculare ATCC 27399"	gcf_000815065
"Mycoplasma flocculare ATCC 27716"	gcf_000367185
"Mycoplasma gallinarum DSM 19816"	gcf_000621085
"Mycoplasma gallisepticum CA06_2006.052-5-2P"	mgal1159203
"Mycoplasma gallisepticum F"	mgal708616
"Mycoplasma gallisepticum NC06_2006.080-5-2P"	mgal1159202
"Mycoplasma gallisepticum NC08_2008.031-4-3P"	mgal1159204
"Mycoplasma gallisepticum NC95_13295-2-2P"	mgal1159198
"Mycoplasma gallisepticum NC96_1596-4-2P"	mgal1159199
"Mycoplasma gallisepticum NY01_2001.047-5-1P"	mgal1159200
"Mycoplasma gallisepticum R(high)"	mgal710128
"Mycoplasma gallisepticum R(low)"	mgal710127
"Mycoplasma gallisepticum S6"	mgal1006581
"Mycoplasma gallisepticum VA94_7994-1-7P"	mgal1159197
"Mycoplasma gallisepticum WI01_2001.043-13-2P"	mgal1159201
"Mycoplasma genitalium G37"	mgen243273
"Mycoplasma genitalium M2288"	mgen662947
"Mycoplasma genitalium M2321"	mgen663918
"Mycoplasma genitalium M6282"	mgen662946
"Mycoplasma genitalium M6320"	mgen662945
"Mycoplasma glycophilum ATCC 35277"	gcf_000687855
"Mycoplasma haemocanis Illinois"	mhae1111676
"Mycoplasma haemofelis Langford 1"	mhae941640
"Mycoplasma haemofelis Ohio2"	mhae859194
"Mycoplasma hominis ATCC 23114"	mhom347256
"Mycoplasma hyopneumoniae 168"	mhyo907287
"Mycoplasma hyopneumoniae 168-L"	mhyo1116211
"Mycoplasma hyopneumoniae 232"	mhyo295358
"Mycoplasma hyopneumoniae 7422"	mhyo754503
"Mycoplasma hyopneumoniae 7448"	mhyo262722
"Mycoplasma hyopneumoniae J"	mhyo262719
"Mycoplasma hyorhinis DBS 1050"	mhyo634997
"Mycoplasma hyorhinis GDL-1"	mhyo1129369
"Mycoplasma hyorhinis HUB-1"	mhyo872331
"Mycoplasma hyorhinis MCLD"	mhyo936139
"Mycoplasma hyorhinis SK76"	mhyo1118964
"Mycoplasma hyosynoviae"	gcf_000691385
"Mycoplasma imitans ATCC 51306"	gcf_000518305
"Mycoplasma iners ATCC 19705"	gcf_000701805
"Mycoplasma iowae 695"	gcf_000227355
"Mycoplasma leachii 99/014/6"	mlea866629
"Mycoplasma leachii PG50"	mlea880447
"Mycoplasma leonicaptivi ATCC 49890"	gcf_000622205
"Mycoplasma lipofaciens ATCC 35015"	gcf_000686585
"Mycoplasma mobile 163K"	mmob267748
"Mycoplasma molare ATCC 27746"	gcf_000622165
"Mycoplasma mycoides capri LC str. 95010"	mmyc862259
"Mycoplasma mycoides mycoides SC str. Gladysdale"	mmyc865867
"Mycoplasma mycoides mycoides SC str. PG1"	mmyc272632
"Mycoplasma opalescens ATCC 27921"	gcf_000712185
"Mycoplasma orale ATCC 23714"	gcf_000420105
"Mycoplasma ovipneumoniae NM2010"	gcf_000753815
"Mycoplasma ovis Michigan"	movi1415773
"Mycoplasma parvum Indiana"	mpar1403316
"Mycoplasma penetrans HF-2"	mpen272633
"Mycoplasma pirum ATCC 25960"	gcf_000685905
"Mycoplasma pneumoniae 309"	mpne1112856
"Mycoplasma pneumoniae FH"	mpne722438
"Mycoplasma pneumoniae M129"	mpne272634
"Mycoplasma pneumoniae M129-B7"	mpne1238993
"Mycoplasma primatum ATCC 25948"	gcf_000702785
"Mycoplasma pulmonis UAB CTIP"	mpul272635
"Mycoplasma putrefaciens KS1"	mput743965
"Mycoplasma putrefaciens Mput9231"	mput1292033
"Mycoplasma salivarium ATCC 23064"	gcf_000485555
"Mycoplasma simbae ATCC 49888"	gcf_000702705
"Mycoplasma sp. G5847"	msp1179777
"Mycoplasma spumans ATCC 19526"	gcf_000620005
"Mycoplasma sturni DSM 22021"	gcf_000701485
"Mycoplasma suis Illinois"	msui768700
"Mycoplasma suis KI3806"	msui708248
"Mycoplasma synoviae 53"	msyn262723
"Mycoplasma testudinis ATCC 43263"	gcf_000687795
"Mycoplasma wenyonii Massachusetts"	mwen1197325
"Mycoplasma yeatsii 13926"	gcf_000380285
"Mycoplasma yeatsii GM274B"	gcf_000875755
"Myroides injenensis M09-0166"	gcf_000246945
"Myroides odoratimimus CCUG 10230"	modo883150-hmp
"Myroides odoratimimus CCUG 12901"	modo883152-hmp
"Myroides odoratimimus CCUG 3837"	modo883153-hmp
"Myroides odoratimimus CIP 101113"	modo883154-hmp
"Myroides odoratus DSM 2801"	gcf_000243275
"Myroides profundi"	gcf_000833025
"Myroides [odoratimimus] CIP 103059"	modo883155-hmp
"Myxococcus fulvus HW-1"	mful483219
"Myxococcus stipitatus DSM 14675"	msti1278073
"Myxococcus xanthus DK 1622"	mxan246197
"Nafulsella turpanensis ZLM-10"	gcf_000346615
"Nakamurella lactea DSM 19367"	gcf_000426645
"Nakamurella multipartita DSM 44233"	nmul479431
"Nanoarchaeum equitans Kin4-M"	nequ228908
"Natranaerobius thermophilus JW/NM-WN-LF"	nthe457570
"Natrialba asiatica DSM 12278"	gcf_000337555
"Natrialba magadii ATCC 43099"	nmag547559
"Natrinema altunense JCM 12890"	nalt1227494
"Natrinema gari JCM 14663"	ngar1230459
"Natrinema pallidum DSM 3751"	npal1227495
"Natrinema pellirubrum DSM 15624"	npel797303
"Natrinema sp. J7-2"	nsp406552
"Natrinema versiforme JCM 10478"	gcf_000337195
"Natronobacterium gregoryi SP2"	ngre797304
"Natronococcus amylolyticus DSM 10524"	gcf_000337675
"Natronococcus jeotgali DSM 18795"	gcf_000337695
"Natronococcus occultus SP4"	nocc694430
"Natronolimnobius innermongolicus JCM 12255"	gcf_000337215
"Natronomonas moolapensis 8.8.11"	nmoo268739
"Natronomonas pharaonis DSM 2160"	npha348780
"Natronorubrum bangense JCM 10635"	nban1227500
"Natronorubrum bangense JCM 10635"	gcf_000337715
"Natronorubrum sulfidifaciens JCM 14089"	gcf_000337735
"Natronorubrum tibetense GA33"	gcf_000383975
"Nautilia profundicola AmH"	npro598659
"Necropsobacter rosorum"	gcf_000751835
"Neisseria bacilliformis ATCC BAA-1200"	nbac888742-hmp
"Neisseria cinerea ATCC 14685"	ncin546262-hmp
"Neisseria elongata glycolytica ATCC 29315"	nelo546263-hmp
"Neisseria flavescens SK114"	nfla596320-hmp
"Neisseria gonorrhoeae FA 1090"	ngon242231
"Neisseria gonorrhoeae NCCP11945"	ngon521006
"Neisseria gonorrhoeae TCDC-NG08107"	ngon940296
"Neisseria lactamica 020-06"	nlac489653
"Neisseria lactamica ATCC 23970"	nlac546265-hmp
"Neisseria macacae ATCC 33926"	nmac997348-hmp
"Neisseria meningitidis 053442"	nmen374833
"Neisseria meningitidis 12888"	nmen1095680
"Neisseria meningitidis 2006087"	nmen1095693
"Neisseria meningitidis 2007056"	nmen1095669
"Neisseria meningitidis 61103"	nmen1095674
"Neisseria meningitidis 63006"	nmen1095665
"Neisseria meningitidis 63041"	nmen1095694
"Neisseria meningitidis 63049"	nmen1095678
"Neisseria meningitidis 77221"	nmen1095667
"Neisseria meningitidis 8013"	nmen604162
"Neisseria meningitidis 80179"	nmen1069617
"Neisseria meningitidis 9506"	nmen1095682
"Neisseria meningitidis 961-5945"	nmen935598
"Neisseria meningitidis 97020"	nmen1095673
"Neisseria meningitidis 97021"	nmen1095697
"Neisseria meningitidis 98080"	nmen1095699
"Neisseria meningitidis alpha14"	nmen662598
"Neisseria meningitidis alpha710"	nmen630588
"Neisseria meningitidis ATCC 13091"	nmen862513-hmp
"Neisseria meningitidis CU385"	nmen935597
"Neisseria meningitidis FAM18"	nmen272831
"Neisseria meningitidis G2136"	nmen935599
"Neisseria meningitidis H44/76"	nmen909420
"Neisseria meningitidis M01-240149"	nmen935591
"Neisseria meningitidis M01-240355"	nmen935588
"Neisseria meningitidis M04-240196"	nmen935593
"Neisseria meningitidis MC58"	nmen122586
"Neisseria meningitidis NM126"	nmen1095683
"Neisseria meningitidis NM140"	nmen1069611
"Neisseria meningitidis NM183"	nmen1069612
"Neisseria meningitidis NM220"	nmen1053687
"Neisseria meningitidis NM233"	nmen1055328
"Neisseria meningitidis NM255"	nmen1069610
"Neisseria meningitidis NM2657"	nmen1069619
"Neisseria meningitidis NM2781"	nmen1069613
"Neisseria meningitidis NM2795"	nmen1069620
"Neisseria meningitidis NM3001"	nmen1069622
"Neisseria meningitidis NM3081"	nmen1069621
"Neisseria meningitidis NM3642"	nmen1095670
"Neisseria meningitidis NM3652"	nmen1095671
"Neisseria meningitidis NM418"	nmen1095689
"Neisseria meningitidis NM422"	nmen1095701
"Neisseria meningitidis NM586"	nmen1095688
"Neisseria meningitidis NM762"	nmen1095687
"Neisseria meningitidis NZ-05/33"	nmen935589
"Neisseria meningitidis WUE 2594"	nmen942513
"Neisseria meningitidis Z2491"	nmen122587
"Neisseria mucosa ATCC 25996"	nmuc546266-hmp
"Neisseria mucosa C102"	nmuc435832-hmp
"Neisseria polysaccharea ATCC 43768"	npol546267-hmp
"Neisseria shayeganii 871"	nsha1032488-hmp
"Neisseria sicca ATCC 29256"	nsic547045-hmp
"Neisseria sicca VK64"	nsic1095748
"Neisseria sp. GT4A_CT1"	nsp665946-hmp
"Neisseria sp. oral taxon 014 F0314"	nsp641149-hmp
"Neisseria sp. oral taxon 020 F0370"	nsp1127694
"Neisseria subflava NJ9703"	nsub546268-hmp
"Neisseria wadsworthii 9715"	nwad1030841-hmp
"Neisseria weaveri ATCC 51223"	nwea1051972
"Neisseria weaveri LMG 5135"	nwea1051985
"Neorhizobium galegae bv. officinalis bv. officinalis str. HAMBI 1141"	gcf_000731295
"Neorhizobium galegae bv. orientalis str. HAMBI 540"	gcf_000731315
"Neorickettsia helminthoeca Oregon"	gcf_000632985
"Neorickettsia risticii Illinois"	nris434131
"Neorickettsia sennetsu Miyayama"	nsen222891
"Neptuniibacter caesariensis"	gcf_000153345
"Neptunomonas japonica DSM 18939"	gcf_000422765
"Nesiotobacter exalbescens DSM 16456"	gcf_000422785
"Nesterenkonia alba DSM 19423"	gcf_000421745
"Nesterenkonia sp. F"	nsp795955
"Nevskia ramosa DSM 11499"	gcf_000420645
"Nevskia soli DSM 19509"	gcf_000711955
"Niabella aurantiaca DSM 17617"	gcf_000374125
"Niabella soli DSM 19437"	nsol929713
"Niastella koreensis GR20-10"	nkor700598
"Nisaea denitrificans DSM 18348"	gcf_000426505
"Nitratifractor salsuginis DSM 16511"	nsal749222
"Nitratireductor aquibiodomus RA22"	gcf_000265055
"Nitratireductor basaltis"	gcf_000733725
"Nitratireductor indicus C115"	nind1231190
"Nitratireductor pacificus pht-3B"	npac391937
"Nitratiruptor sp. SB155-2"	nsp387092
"Nitrincola lacisaponensis"	gcf_000691225
"Nitritalea halalkaliphila LW7"	nhal1189621
"Nitrobacter hamburgensis X14"	nham323097
"Nitrobacter winogradskyi Nb-255"	nwin323098
"Nitrococcus mobilis Nb-231"	gcf_000153205
"Nitrosococcus halophilus Nc 4"	nhal472759
"Nitrosococcus oceani ATCC 19707"	noce323261
"Nitrosococcus watsonii C-113"	nwat105559
"Nitrosomonas cryotolerans ATCC 49181"	gcf_000620405
"Nitrosomonas europaea ATCC 19718"	neur228410
"Nitrosomonas eutropha C91"	neut335283
"Nitrosomonas sp. AL212"	nsp153948
"Nitrosomonas sp. Is79A3"	nsp261292
"Nitrosopumilus maritimus SCM1"	nmar436308
"Nitrosospira briensis C-128"	gcf_000619905
"Nitrosospira multiformis ATCC 25196"	nmul323848
"Nitrospina gracilis 3/211"	gcf_000341545
"Niveispirillum irakense DSM 11586"	gcf_000429645
"Nocardia aobensis NBRC 100429"	gcf_000308375
"Nocardia asteroides NBRC 15531"	gcf_000308355
"Nocardia brasiliensis ATCC 700358"	nbra1133849
"Nocardia brevicatena NBRC 12119"	gcf_000308495
"Nocardia concava NBRC 100430"	gcf_000308815
"Nocardia cyriacigeorgica GUH-2"	ncyr1127134
"Nocardia exalbida NBRC 100660"	gcf_000308575
"Nocardia farcinica IFM 10152"	nfar247156
"Nocardia higoensis NBRC 100133"	gcf_000308595
"Nocardia jiangxiensis NBRC 101359"	gcf_000308615
"Nocardia niigatensis NBRC 100131"	gcf_000308655
"Nocardia nova SH22a"	gcf_000523235
"Nocardia otitidiscaviarum IFM 11049"	gcf_000710895
"Nocardia paucivorans NBRC 100373"	gcf_000308675
"Nocardia pneumoniae NBRC 100136"	gcf_000308755
"Nocardia rhamnosiphila NBRC 108938"	gcf_000720425
"Nocardia seriolae"	gcf_000763165
"Nocardia takedensis NBRC 100417"	gcf_000308695
"Nocardia tenerifensis NBRC 101015"	gcf_000308715
"Nocardia thailandica NBRC 100428"	gcf_000308795
"Nocardia transvalensis NBRC 15921"	gcf_000308875
"Nocardia veterana NBRC 100344"	gcf_000308855
"Nocardia vinacea NBRC 16497"	gcf_000308835
"Nocardioidaceae bacterium Broad-1"	nbac408672
"Nocardioides alkalitolerans DSM 16699"	gcf_000426525
"Nocardioides halotolerans DSM 19273"	gcf_000422805
"Nocardioides insulae DSM 17944"	gcf_000422825
"Nocardioides sp. JS614"	nsp196162
"Nocardiopsis alba ATCC BAA-2165"	nalb1205910
"Nocardiopsis alkaliphila YIM 80379"	gcf_000341005
"Nocardiopsis baichengensis YIM 90130"	gcf_000341205
"Nocardiopsis chromatogenes YIM 90109"	gcf_000341185
"Nocardiopsis dassonvillei dassonvillei DSM 43111"	ndas446468
"Nocardiopsis ganjiahuensis DSM 45031"	gcf_000341085
"Nocardiopsis gilva YIM 90087"	gcf_000341165
"Nocardiopsis halotolerans DSM 44410"	gcf_000341065
"Nocardiopsis kunsanensis DSM 44524"	gcf_000340965
"Nocardiopsis lucentensis DSM 44048"	gcf_000341125
"Nocardiopsis potens DSM 45234"	gcf_000341105
"Nocardiopsis prasina DSM 43845"	gcf_000341265
"Nocardiopsis salina YIM 90010"	gcf_000341025
"Nocardiopsis xinjiangensis YIM 90004"	gcf_000341145
"Nodosilinea nodulosa PCC 7104"	gcf_000309385
"Nodularia spumigena CCY9414"	gcf_000340565
"Nonlabens dokdonensis DSW-6"	ndok592029
"Nonlabens sediminis"	gcf_000755305
"Nonlabens ulvanivorans"	gcf_000732625
"Nonomuraea candida"	gcf_000725485
"Nonomuraea coxensis DSM 45129"	gcf_000379885
"Nostoc azollae 0708"	tazo551115
"Nostoc azollae 0708"	gcf_000196515
"Nostoc punctiforme PCC 73102"	npun63737
"Nostoc sp. PCC 7107"	nsp317936
"Nostoc sp. PCC 7120"	nsp103690
"Nostoc sp. PCC 7524"	nsp28072
"Novispirillum itersonii itersonii ATCC 12639"	gcf_000381985
"Novosphingobium acidiphilum DSM 19966"	gcf_000429005
"Novosphingobium aromaticivorans DSM 12444"	naro279238
"Novosphingobium lindaniclasticum LE124"	gcf_000445125
"Novosphingobium nitrogenifigens DSM 19370"	nnit983920
"Novosphingobium pentaromativorans US6-1"	gcf_000767465
"Novosphingobium resinovorum"	gcf_000632105
"Novosphingobium sp. PP1Y"	nsp702113
"Novosphingobium sp. Rr 2-17"	nsp555793
"Novosphingobium tardaugens NBRC 16725"	gcf_000466945
"Oceanibaculum indicum P24"	oind1207063
"Oceanibulbus indolifex HEL-45"	oind391624
"Oceanicaulis alexandrii DSM 11625"	gcf_000420265
"Oceanicaulis sp. HTCC2633"	osp314254
"Oceanicola batsensis HTCC2597"	obat252305
"Oceanicola granulosus HTCC2516"	ogra314256
"Oceanicola nanhaiensis DSM 18065"	gcf_000688295
"Oceanimonas smirnovii ATCC BAA-899"	gcf_000381965
"Oceanimonas sp. GK1"	osp511062
"Oceaniovalibus guishaninsula JLT2003"	ogui1231392
"Oceanithermus profundus DSM 14977"	opro670487
"Oceanobacillus iheyensis HTE831"	oihe221109
"Oceanobacillus massiliensis Ndiop"	gcf_000285495
"Oceanobacillus picturae"	gcf_000612865
"Oceanobacter kriegii DSM 6294"	gcf_000422845
"Oceanospirillum beijerinckii DSM 7166"	gcf_000422425
"Oceanospirillum maris DSM 6286"	gcf_000422865
"Ochrobactrum anthropi ATCC 49188"	oant439375
"Ochrobactrum intermedium M86"	oint1234597
"Ochrobactrum rhizosphaerae SJY1"	gcf_000559065
"Octadecabacter antarcticus 307"	oant391626
"Octadecabacter arcticus 238"	oarc391616
"Odoribacter laneus YIT 12061"	olan742817-hmp
"Odoribacter splanchnicus DSM 20712"	ospl709991
